# T [MeV]          muB [MeV]        muQ [MeV]
      5.00000000e-02      1.64907642e+03     -1.14425250e-01
      5.00000000e-02      1.64907642e+03     -1.23437927e-01
      5.00000000e-02      1.64907642e+03     -1.33160485e-01
      5.00000000e-02      1.64907642e+03     -1.43648838e-01
      5.00000000e-02      1.64907642e+03     -1.54963304e-01
      5.00000000e-02      1.64907642e+03     -1.67168951e-01
      5.00000000e-02      1.64907642e+03     -1.80335973e-01
      5.00000000e-02      1.64907642e+03     -1.94540092e-01
      5.00000000e-02      1.64907642e+03     -2.09862994e-01
      5.00000000e-02      1.64907642e+03     -2.26392802e-01
      5.00000000e-02      1.64907642e+03     -2.44224576e-01
      5.00000000e-02      1.64907642e+03     -2.63460865e-01
      5.00000000e-02      1.64907642e+03     -2.84212296e-01
      5.00000000e-02      1.64907642e+03     -3.06598208e-01
      5.00000000e-02      1.64907642e+03     -3.30747341e-01
      5.00000000e-02      1.64907642e+03     -3.56798574e-01
      5.00000000e-02      1.64907642e+03     -3.84901727e-01
      5.00000000e-02      1.64907642e+03     -4.15218417e-01
      5.00000000e-02      1.64907642e+03     -4.47922995e-01
      5.00000000e-02      1.64907642e+03     -4.83203540e-01
      5.00000000e-02      1.64907642e+03     -5.21262949e-01
      5.00000000e-02      1.64907642e+03     -5.62320098e-01
      5.00000000e-02      1.64907642e+03     -6.06611103e-01
      5.00000000e-02      1.64907642e+03     -6.54390679e-01
      5.00000000e-02      1.64907642e+03     -7.05933601e-01
      5.00000000e-02      1.64907642e+03     -7.61536289e-01
      5.00000000e-02      1.64907642e+03     -8.21518509e-01
      5.00000000e-02      1.64907642e+03     -8.86225214e-01
      5.00000000e-02      1.64907642e+03     -9.56028526e-01
      5.00000000e-02      1.64907642e+03     -1.03132988e+00
      5.00000000e-02      1.64907642e+03     -1.11256233e+00
      5.00000000e-02      1.64907642e+03     -1.20019303e+00
      5.00000000e-02      1.64907642e+03     -1.29472594e+00
      5.00000000e-02      1.64907642e+03     -1.39670471e+00
      5.00000000e-02      1.64907642e+03     -1.50671582e+00
      5.00000000e-02      1.64907642e+03     -1.62539192e+00
      5.00000000e-02      1.64907642e+03     -1.75341552e+00
      5.00000000e-02      1.64907642e+03     -1.89152286e+00
      5.00000000e-02      1.64907642e+03     -2.04050820e+00
      5.00000000e-02      1.64907642e+03     -2.20122833e+00
      5.00000000e-02      1.64907642e+03     -2.37460754e+00
      5.00000000e-02      1.64907642e+03     -2.56164292e+00
      5.00000000e-02      1.64907642e+03     -2.76341010e+00
      5.00000000e-02      1.64907642e+03     -2.98106943e+00
      5.00000000e-02      1.64907642e+03     -3.21587263e+00
      5.00000000e-02      1.64907642e+03     -3.46917006e+00
      5.00000000e-02      1.64907642e+03     -3.74241839e+00
      5.00000000e-02      1.64907642e+03     -4.03718906e+00
      5.00000000e-02      1.64907642e+03     -4.35517727e+00
      5.00000000e-02      1.64907642e+03     -4.69821175e+00
      5.00000000e-02      1.64907642e+03     -5.06826525e+00
      5.00000000e-02      1.64907642e+03     -5.46746592e+00
      5.00000000e-02      1.64907642e+03     -5.89810954e+00
      5.00000000e-02      1.64907642e+03     -6.36267270e+00
      5.00000000e-02      1.64907642e+03     -6.86382706e+00
      5.00000000e-02      1.64907642e+03     -7.40445473e+00
      5.00000000e-02      1.64907642e+03     -7.98766480e+00
      5.00000000e-02      1.64907642e+03     -8.61681127e+00
      5.00000000e-02      1.64907642e+03     -9.29551230e+00
      5.00000000e-02      1.64907642e+03     -1.00276711e+01
