# T  muB  muS  muQ  dnB
  8.000000e+01   8.575000e+02   0.000000e+00  -2.400000e+02   4.290018e-01
  8.000000e+01   8.575000e+02   0.000000e+00  -2.390000e+02   4.178174e-01
  8.000000e+01   8.575000e+02   0.000000e+00  -2.380000e+02   4.061978e-01
  8.000000e+01   8.585000e+02   0.000000e+00  -2.370000e+02   4.258656e-01
  8.000000e+01   8.585000e+02   0.000000e+00  -2.360000e+02   4.135787e-01
  8.000000e+01   8.595000e+02   0.000000e+00  -2.350000e+02   4.343773e-01
  8.000000e+01   8.595000e+02   0.000000e+00  -2.340000e+02   4.218011e-01
  8.000000e+01   8.605000e+02   0.000000e+00  -2.330000e+02   4.438394e-01
  8.000000e+01   8.605000e+02   0.000000e+00  -2.320000e+02   4.309626e-01
  8.000000e+01   8.605000e+02   0.000000e+00  -2.310000e+02   4.178856e-01
  8.000000e+01   8.615000e+02   0.000000e+00  -2.300000e+02   4.411761e-01
  8.000000e+01   8.615000e+02   0.000000e+00  -2.290000e+02   4.277743e-01
  8.000000e+01   8.625000e+02   0.000000e+00  -2.280000e+02   4.525721e-01
  8.000000e+01   8.625000e+02   0.000000e+00  -2.270000e+02   4.388325e-01
  8.000000e+01   8.635000e+02   0.000000e+00  -2.260000e+02   4.653026e-01
  8.000000e+01   8.635000e+02   0.000000e+00  -2.250000e+02   4.512123e-01
  8.000000e+01   8.635000e+02   0.000000e+00  -2.240000e+02   4.368734e-01
  8.000000e+01   8.645000e+02   0.000000e+00  -2.230000e+02   4.650918e-01
  8.000000e+01   8.645000e+02   0.000000e+00  -2.220000e+02   4.503718e-01
  8.000000e+01   8.655000e+02   0.000000e+00  -2.210000e+02   4.806813e-01
  8.000000e+01   8.655000e+02   0.000000e+00  -2.200000e+02   4.655067e-01
  8.000000e+01   8.655000e+02   0.000000e+00  -2.190000e+02   4.497812e-01
  8.000000e+01   8.665000e+02   0.000000e+00  -2.180000e+02   4.822064e-01
  8.000000e+01   8.665000e+02   0.000000e+00  -2.170000e+02   4.660444e-01
  8.000000e+01   8.665000e+02   0.000000e+00  -2.160000e+02   4.495531e-01
  8.000000e+01   8.675000e+02   0.000000e+00  -2.150000e+02   4.845314e-01
  8.000000e+01   8.675000e+02   0.000000e+00  -2.140000e+02   4.675625e-01
